text,label
"I have depression, dizziness, fatigue, vomiting, sore throat.",Dementia
"I have anxiety, fatigue, weight gain, vomiting.",Food Poisoning
"I have vomiting, dizziness, rash.",Thyroid Disorder
"I have weight gain, anxiety, sweating, tremors, vomiting, swelling.",Stroke
"I have rash, anxiety, sneezing, swelling, muscle pain.",Anxiety
"I have dizziness, cough, runny nose, insomnia, muscle pain, weight gain, abdominal pain.",Common Cold
"I have runny nose, sneezing, shortness of breath, fatigue, weight loss, vomiting, rash.",Tuberculosis
"I have cough, shortness of breath, dizziness, swelling, headache, diarrhea.",Liver Disease
"I have muscle pain, vomiting, shortness of breath, rash.",Obesity
"I have back pain, fatigue, chest pain, blurred vision.",Heart Disease
"I have weight loss, muscle pain, joint pain, rash, fever, cough.",Obesity
"I have weight gain, chest pain, back pain, muscle pain, appetite loss, sore throat.",Stroke
"I have anxiety, headache, insomnia, abdominal pain, swelling, back pain.",Allergy
"I have vomiting, back pain, dizziness, sore throat, depression.",Chronic Kidney Disease
"I have fatigue, insomnia, rash, weight loss, depression.",Dermatitis
"I have shortness of breath, abdominal pain, cough, fatigue, anxiety.",Ulcer
"I have blurred vision, headache, sneezing, cough, chest pain, anxiety.",Covid-19
"I have dizziness, diarrhea, shortness of breath, anxiety, blurred vision, chest pain, abdominal pain.",Gastritis
"I have swelling, fatigue, diarrhea.",Covid-19
"I have sore throat, muscle pain, back pain, appetite loss, insomnia.",Food Poisoning
"I have cough, runny nose, blurred vision.",Hypertension
"I have swelling, depression, abdominal pain.",Dementia
"I have blurred vision, rash, fever, appetite loss, weight gain, dizziness, diarrhea.",Anemia
"I have fatigue, headache, abdominal pain, sore throat, muscle pain.",Influenza
"I have dizziness, fever, diarrhea, rash.",Pneumonia
"I have rash, nausea, blurred vision.",Food Poisoning
"I have cough, headache, swelling.",Anemia
"I have headache, swelling, runny nose, fever, vomiting.",Influenza
"I have dizziness, fever, abdominal pain, joint pain, nausea.",Allergy
"I have abdominal pain, tremors, back pain, fatigue, weight loss.",Allergy
"I have sore throat, blurred vision, muscle pain, dizziness, insomnia.",Dementia
"I have weight loss, dizziness, fatigue, joint pain, anxiety, weight gain.",Depression
"I have blurred vision, weight loss, joint pain, sore throat, dizziness.",Obesity
"I have appetite loss, sore throat, depression, diarrhea, sneezing, sweating, nausea.",Common Cold
"I have sweating, abdominal pain, diarrhea, insomnia, headache, fever, shortness of breath.",Arthritis
"I have anxiety, back pain, shortness of breath, nausea, sore throat.",Chronic Kidney Disease
"I have rash, tremors, appetite loss.",Epilepsy
"I have insomnia, sneezing, weight loss, dizziness, cough, chest pain, runny nose.",Hypertension
"I have anxiety, weight gain, back pain.",Epilepsy
"I have chest pain, sore throat, muscle pain, rash, insomnia, back pain, sweating.",Gastritis
"I have appetite loss, back pain, shortness of breath, anxiety, abdominal pain, diarrhea, rash.",Ibs
"I have runny nose, shortness of breath, muscle pain, depression, joint pain, abdominal pain, diarrhea.",Stroke
"I have cough, sneezing, blurred vision, shortness of breath.",Thyroid Disorder
"I have nausea, weight gain, anxiety, back pain.",Tuberculosis
"I have weight gain, muscle pain, diarrhea, vomiting, fever, depression.",Allergy
"I have sweating, sneezing, abdominal pain, shortness of breath.",Food Poisoning
"I have sweating, rash, joint pain, weight loss, shortness of breath, nausea, fatigue.",Dementia
"I have headache, fever, sneezing, muscle pain, nausea, vomiting, abdominal pain.",Tuberculosis
"I have muscle pain, sweating, dizziness, insomnia, rash.",Influenza
"I have vomiting, weight loss, sweating, sore throat, sneezing, back pain.",Pneumonia
"I have back pain, muscle pain, diarrhea, nausea.",Ibs
"I have headache, muscle pain, joint pain, rash, appetite loss.",Asthma
"I have depression, anxiety, back pain, insomnia, fever, fatigue, sore throat.",Covid-19
"I have dizziness, muscle pain, joint pain, runny nose, nausea.",Epilepsy
"I have depression, sweating, dizziness, vomiting, headache.",Chronic Kidney Disease
"I have weight gain, headache, sore throat, blurred vision, abdominal pain.",Thyroid Disorder
"I have back pain, nausea, rash, anxiety.",Pneumonia
"I have cough, joint pain, appetite loss.",Migraine
"I have cough, depression, weight gain, vomiting, sneezing, headache, abdominal pain.",Dermatitis
"I have back pain, muscle pain, swelling, joint pain, weight loss.",Influenza
"I have appetite loss, sore throat, diarrhea.",Depression
"I have sore throat, appetite loss, shortness of breath.",Liver Disease
"I have diarrhea, depression, weight loss, rash, shortness of breath, joint pain.",Influenza
"I have dizziness, sweating, rash.",Food Poisoning
"I have rash, vomiting, weight gain, muscle pain, sore throat, depression, fever.",Chronic Kidney Disease
"I have insomnia, nausea, muscle pain, chest pain, fever, dizziness, vomiting.",Ulcer
"I have weight loss, diarrhea, rash, shortness of breath, appetite loss.",Food Poisoning
"I have vomiting, sweating, swelling.",Liver Disease
"I have weight gain, abdominal pain, chest pain, blurred vision, diarrhea.",Anemia
"I have anxiety, weight gain, fatigue, sweating, diarrhea, weight loss.",Migraine
"I have back pain, diarrhea, muscle pain, joint pain, appetite loss, fever, weight gain.",Anxiety
"I have fever, sneezing, weight gain, dizziness, depression.",Food Poisoning
"I have cough, back pain, dizziness, abdominal pain, muscle pain.",Epilepsy
"I have depression, sore throat, dizziness, back pain, nausea, runny nose.",Common Cold
"I have swelling, insomnia, joint pain.",Thyroid Disorder
"I have back pain, sneezing, vomiting, fatigue, sore throat, tremors, nausea.",Obesity
"I have insomnia, weight gain, diarrhea, tremors.",Obesity
"I have vomiting, chest pain, shortness of breath, joint pain, sweating.",Heart Disease
"I have headache, joint pain, sore throat, fever, fatigue, vomiting, abdominal pain.",Heart Disease
"I have fatigue, diarrhea, weight loss, runny nose.",Diabetes
"I have sweating, insomnia, dizziness, sneezing.",Diabetes
"I have vomiting, appetite loss, runny nose, shortness of breath, diarrhea, headache, cough.",Influenza
"I have weight loss, tremors, joint pain.",Liver Disease
"I have tremors, chest pain, fatigue, anxiety, nausea, headache.",Sinusitis
"I have diarrhea, muscle pain, depression, fatigue.",Epilepsy
"I have sneezing, runny nose, blurred vision, fatigue, abdominal pain, sore throat.",Covid-19
"I have appetite loss, anxiety, runny nose, rash, dizziness.",Ibs
"I have shortness of breath, muscle pain, weight gain, joint pain, appetite loss.",Epilepsy
"I have insomnia, sore throat, depression, vomiting.",Dementia
"I have depression, dizziness, headache, vomiting, appetite loss, sore throat.",Thyroid Disorder
"I have shortness of breath, headache, weight loss, abdominal pain, sneezing, fever, nausea.",Dementia
"I have insomnia, anxiety, depression, blurred vision, rash, sore throat.",Arthritis
"I have dizziness, chest pain, vomiting, weight gain, rash, anxiety.",Depression
"I have appetite loss, weight gain, insomnia, rash, sneezing, swelling.",Migraine
"I have depression, chest pain, sweating, sneezing.",Depression
"I have shortness of breath, sneezing, back pain, rash.",Epilepsy
"I have insomnia, chest pain, blurred vision, diarrhea.",Arthritis
"I have insomnia, tremors, abdominal pain.",Common Cold
"I have cough, diarrhea, depression, back pain, shortness of breath.",Allergy
"I have blurred vision, depression, rash, sore throat.",Heart Disease
"I have blurred vision, diarrhea, sweating, insomnia, appetite loss, muscle pain.",Migraine
"I have anxiety, back pain, sore throat, weight gain, vomiting, abdominal pain, sneezing.",Anxiety
"I have tremors, rash, depression, sweating, fatigue, anxiety.",Common Cold
"I have appetite loss, fatigue, rash.",Sinusitis
"I have depression, fever, abdominal pain, fatigue, rash, insomnia.",Sinusitis
"I have back pain, headache, anxiety, shortness of breath, nausea, runny nose, cough.",Hypertension
"I have muscle pain, blurred vision, chest pain.",Migraine
"I have joint pain, back pain, weight loss, sweating.",Dermatitis
"I have appetite loss, runny nose, blurred vision.",Covid-19
"I have appetite loss, abdominal pain, sore throat, fatigue.",Obesity
"I have chest pain, depression, weight loss, diarrhea, back pain, fever.",Allergy
"I have headache, shortness of breath, weight loss, weight gain.",Epilepsy
"I have dizziness, nausea, sweating, chest pain.",Epilepsy
"I have chest pain, diarrhea, headache, nausea, fatigue, rash, joint pain.",Asthma
"I have swelling, depression, sore throat, appetite loss, diarrhea, weight gain.",Tuberculosis
"I have nausea, dizziness, insomnia, vomiting.",Asthma
"I have fatigue, dizziness, rash.",Arthritis
"I have abdominal pain, weight loss, sneezing.",Dementia
"I have appetite loss, tremors, chest pain, sweating, swelling, headache, fever.",Anxiety
"I have sweating, blurred vision, dizziness, nausea, cough, swelling.",Migraine
"I have diarrhea, swelling, fatigue, chest pain, vomiting, weight gain, nausea.",Depression
"I have diarrhea, rash, tremors, runny nose, anxiety.",Covid-19
"I have fatigue, dizziness, insomnia.",Food Poisoning
"I have muscle pain, swelling, cough, blurred vision.",Sinusitis
"I have rash, sweating, blurred vision.",Arthritis
"I have weight loss, abdominal pain, rash, blurred vision, fatigue.",Food Poisoning
"I have sneezing, abdominal pain, depression, sore throat.",Arthritis
"I have sneezing, chest pain, shortness of breath, vomiting, fever.",Chronic Kidney Disease
"I have headache, sneezing, muscle pain, back pain.",Asthma
"I have dizziness, weight loss, depression.",Bronchitis
"I have chest pain, cough, dizziness, rash.",Ulcer
"I have headache, tremors, muscle pain.",Stroke
"I have headache, abdominal pain, weight gain, runny nose, tremors, nausea.",Gastritis
"I have sneezing, rash, back pain, joint pain, weight gain, insomnia.",Pneumonia
"I have vomiting, joint pain, insomnia, sweating, diarrhea, appetite loss.",Depression
"I have muscle pain, abdominal pain, joint pain, sneezing, vomiting, shortness of breath.",Liver Disease
"I have depression, weight gain, sore throat.",Gastritis
"I have insomnia, diarrhea, chest pain, joint pain, blurred vision, weight loss, dizziness.",Sinusitis
"I have depression, nausea, fever, runny nose, rash.",Dementia
"I have nausea, insomnia, appetite loss, abdominal pain, runny nose, vomiting.",Ibs
"I have chest pain, headache, joint pain, rash, weight loss, back pain.",Bronchitis
"I have back pain, diarrhea, joint pain, depression, fever, sore throat.",Ulcer
"I have tremors, sore throat, insomnia, abdominal pain, swelling, depression, headache.",Bronchitis
"I have sore throat, blurred vision, weight gain, dizziness, sweating, back pain, appetite loss.",Anxiety
"I have depression, blurred vision, dizziness.",Migraine
"I have fatigue, rash, swelling, chest pain.",Bronchitis
"I have appetite loss, weight loss, anxiety.",Allergy
"I have joint pain, appetite loss, runny nose, anxiety, swelling, abdominal pain.",Influenza
"I have sore throat, weight gain, back pain, chest pain, joint pain, depression, dizziness.",Bronchitis
"I have headache, sore throat, insomnia, muscle pain.",Influenza
"I have depression, sneezing, sore throat.",Anemia
"I have cough, headache, blurred vision, vomiting, fatigue.",Gastritis
"I have weight gain, dizziness, swelling, back pain, abdominal pain.",Ibs
"I have muscle pain, sneezing, fatigue, sore throat, runny nose.",Covid-19
"I have sweating, joint pain, sore throat, back pain.",Obesity
"I have depression, chest pain, diarrhea, joint pain.",Anemia
"I have joint pain, muscle pain, diarrhea, insomnia, rash, sneezing, vomiting.",Liver Disease
"I have headache, sneezing, appetite loss, nausea.",Ulcer
"I have abdominal pain, runny nose, nausea.",Ibs
"I have rash, weight gain, muscle pain, vomiting.",Tuberculosis
"I have sweating, diarrhea, joint pain.",Sinusitis
"I have appetite loss, abdominal pain, weight gain, shortness of breath, runny nose, blurred vision, rash.",Depression
"I have swelling, abdominal pain, blurred vision, headache, nausea, weight loss.",Epilepsy
"I have shortness of breath, back pain, tremors, muscle pain, sweating, cough.",Obesity
"I have back pain, weight gain, tremors, sore throat, headache, nausea, sweating.",Influenza
"I have back pain, fever, shortness of breath, headache, cough, chest pain.",Covid-19
"I have fever, back pain, tremors, joint pain, sweating.",Bronchitis
"I have dizziness, abdominal pain, sweating, appetite loss, runny nose, fatigue.",Ulcer
"I have tremors, joint pain, sore throat, back pain, diarrhea, weight loss.",Migraine
"I have nausea, weight loss, depression, anxiety, insomnia.",Anxiety
"I have abdominal pain, joint pain, cough, nausea, tremors, chest pain.",Tuberculosis
"I have depression, rash, headache, sweating.",Asthma
"I have runny nose, shortness of breath, cough, abdominal pain, depression, muscle pain.",Obesity
"I have sweating, back pain, abdominal pain, cough, insomnia, dizziness, anxiety.",Obesity
"I have vomiting, chest pain, swelling, back pain, fever, tremors, weight gain.",Chronic Kidney Disease
"I have rash, diarrhea, depression, swelling, tremors.",Pneumonia
"I have blurred vision, swelling, depression, diarrhea.",Ulcer
"I have sore throat, diarrhea, tremors, sweating, sneezing, appetite loss.",Parkinson'S
"I have weight loss, cough, tremors, appetite loss, dizziness, back pain.",Covid-19
"I have chest pain, swelling, headache, muscle pain.",Diabetes
"I have shortness of breath, dizziness, diarrhea, sneezing.",Chronic Kidney Disease
"I have chest pain, dizziness, insomnia, anxiety.",Sinusitis
"I have tremors, weight loss, headache, fatigue, nausea, depression.",Diabetes
"I have depression, shortness of breath, fever.",Dermatitis
"I have dizziness, sweating, nausea, appetite loss, runny nose.",Tuberculosis
